"STREAM_ID","n.trend","n.ltgme","n.gm","ANALYSE"
545,0,0,0,"N"
546,0,0,0,"N"
547,0,0,0,"N"
549,0,0,0,"N"
550,1,1,1,"Y"
551,0,0,0,"N"
552,0,0,0,"N"
553,0,0,0,"N"
554,0,0,0,"N"
555,1,1,1,"Y"
556,1,1,1,"Y"
557,0,0,0,"N"
558,0,0,0,"N"
559,0,0,0,"N"
560,0,1,0,"Y"
561,2,2,2,"Y"
563,0,0,0,"N"
564,0,0,0,"N"
565,0,0,0,"N"
566,0,0,0,"N"
567,0,0,0,"N"
568,0,0,0,"N"
569,0,0,0,"N"
570,0,0,0,"N"
571,0,1,0,"Y"
572,1,1,0,"Y"
573,0,0,0,"N"
574,0,0,0,"N"
576,0,0,0,"N"
577,0,0,0,"N"
578,0,0,0,"N"
579,0,0,0,"N"
580,0,0,0,"N"
581,1,1,0,"Y"
582,0,0,0,"N"
583,0,0,0,"N"
584,0,0,0,"N"
585,0,0,0,"N"
586,1,1,1,"Y"
587,0,1,0,"Y"
589,0,0,0,"N"
590,0,0,0,"N"
591,0,0,0,"N"
592,1,2,1,"Y"
593,2,2,2,"Y"
594,0,0,0,"N"
595,0,0,0,"N"
596,1,1,1,"Y"
597,1,1,1,"Y"
598,1,1,1,"Y"
599,1,1,1,"Y"
600,0,0,0,"N"
601,1,1,1,"Y"
603,0,0,0,"N"
604,0,0,0,"N"
606,1,1,1,"Y"
607,0,0,0,"N"
608,1,1,1,"Y"
609,0,0,0,"N"
610,1,1,1,"Y"
611,1,1,1,"Y"
612,1,1,1,"Y"
613,0,0,0,"N"
615,0,1,0,"Y"
616,1,1,1,"Y"
617,0,0,0,"N"
618,0,0,0,"N"
619,0,1,0,"Y"
620,0,0,0,"N"
621,2,2,1,"Y"
622,0,0,0,"N"
623,0,0,0,"N"
624,1,1,1,"Y"
625,2,1,0,"Y"
626,0,0,0,"N"
627,0,0,0,"N"
628,0,0,0,"N"
629,0,0,0,"N"
630,0,0,0,"N"
631,0,0,0,"N"
632,0,0,0,"N"
633,0,0,0,"N"
634,0,0,0,"N"
635,0,1,0,"Y"
636,0,0,0,"N"
637,0,0,0,"N"
638,1,1,0,"Y"
639,0,0,0,"N"
640,0,0,0,"N"
641,0,0,0,"N"
642,0,1,0,"Y"
643,1,1,0,"Y"
644,0,0,0,"N"
645,0,0,0,"N"
646,0,0,0,"N"
647,1,2,1,"Y"
648,0,0,0,"N"
649,0,0,0,"N"
